Class,Abstract,SuperType
Activity,false,NamedElement
ActivityEdge,false,DiagnosticSupported
ActivityFinalNode,false,FinalNode
ActivityGroup,false,NamedElement
ActivityModel,false,Model
ActivityNode,true,NamedElement
AggregateRoot,false,Entity
And,false,LogicalOperator
Behavior,true,None
BinaryExpression,false,Expression
BooleanType,false,PrimitiveType
BoundedContext,false,NamedElement
CallOperationAction,false,ExecutableNode
ConditionalNode,false,StructuredActivityNode
ControlNode,true,ActivityNode
DataType,true,Type
DddModel,false,Model
DefinesIdentityObject,true,DiagnosticSupported
DiagnosticSupported,true,None
Divide,false,IntegerOperator
DomainCreateAction,false,DomainNode
DomainDeleteAction,false,DomainNode
DomainElement,true,NamedElement
DomainEvent,false,NamedElement
DomainExistAction,false,DomainFindAction
DomainFindAction,false,DomainNode
DomainNode,true,ExecutableNode
DomainNodeOperationMapping,false,TransformationOnly
DomainObject,true,Type
DomainUpdateAction,false,DomainCreateAction
Entity,false,InternalDomainObject
Enumeration,false,DataType
EnumerationLiteral,false,NamedElement
Eq,false,LogicalOperator
ExecutableNode,true,ActivityNode
Expression,true,NamedElement
FinalNode,true,ControlNode
FlowFinalNode,false,FinalNode
Ge,false,LogicalOperator
Gt,false,LogicalOperator
Identifier,false,NamedElement
In,false,LogicalOperator
InitialNode,false,ControlNode
InstanceProperty,false,NamedElement
InstanceValue,false,ValueSpecification
IntegerOperator,true,Operator
IntegerType,false,PrimitiveType
Interface,true,DomainElement
InternalDomainObject,true,DomainObject
Le,false,LogicalOperator
Literal,true,ValueSpecification
LiteralBoolean,false,Literal
LiteralInteger,false,Literal
LiteralNull,false,Literal
LiteralReal,false,Literal
LiteralString,false,Literal
LogicalOperator,true,Operator
LoopNode,false,StructuredActivityNode
Lt,false,LogicalOperator
Minus,false,IntegerOperator
Model,true,None
NamedElement,true,None
Ne,false,LogicalOperator
NotExpression,false,Expression
Operation,false,NamedElement
Operator,true,None
Or,false,LogicalOperator
ParallelFlow,false,ActivityGroup
ParallelNode,false,ControlNode
Parameter,false,TypedMultiplicityElement
ParameterMapping,false,DiagnosticSupported
Plus,false,IntegerOperator
PrimitiveType,true,DataType
Property,false,DefinesIdentityObject
RaiseEntityNotFoundExceptionAction,false,RaiseExceptionAction
RaiseExceptionAction,false,ExecutableNode
RealType,false,PrimitiveType
ReceiveSignalAction,false,SignalAction
Repository,false,Interface
Root,false,DiagnosticSupported
Scope,false,None
SendSignalAction,false,SignalAction
Service,false,Interface
SharedDomainObject,true,DomainObject
SharedValueObject,false,SharedDomainObject
SignalAction,true,ExecutableNode
SpecOperation,false,Operation
SpecRule,false,NamedElement
StringType,false,PrimitiveType
StructuredActivityNode,true,ControlNode
Times,false,IntegerOperator
TransformationOnly,true,None
Type,true,NamedElement
TypedMultiplicityElement,true,NamedElement
UnaryExpression,false,Expression
ValueObject,false,InternalDomainObject
ValueSpecification,true,None
Variable,false,TransformationOnly
VariableAssignment,false,Expression
VariableAssignmentAction,false,ExecutableNode
VariableDeclarationAction,false,ExecutableNode


