mapping_operation,source_type,target_type,execution_count,is_covered
DactToLact,DACT::Root,BEHA::BehaviorModel,1,True
SpecOperationToSpecDataOperation,DACT::SpecOperation,BEHA::SpecDataOperation,1,True
RuleToRule,DACT::SpecRule,BEHA::SpecRule,1,True
ExpressionToExpression,DACT::Expression,BEHA::Expression,14,True
UnaryExpressionToUnaryExpression,DACT::UnaryExpression,BEHA::UnaryExpression,10,True
BinaryExpressionToBinaryExpression,DACT::BinaryExpression,BEHA::BinaryExpression,2,True
NotExpressionToNotExpression,DACT::NotExpression,BEHA::NotExpression,2,True
IdentifierToIdentifier,DACT::Identifier,BEHA::Identifier,22,True
OperatorToOperator,DACT::Operator,BEHA::Operator,2,True
IntegerOperatorToIntegerOperator,DACT::IntegerOperator,BEHA::IntegerOperator,1,True
LogicalOperatorToLogicalOperator,DACT::LogicalOperator,BEHA::LogicalOperator,1,True
DivideToDivide,DACT::Divide,BEHA::Divide,0,False
TimesToTimes,DACT::Times,BEHA::Times,0,False
PlusToPlus,DACT::Plus,BEHA::Plus,1,True
MinusToMinus,DACT::Minus,BEHA::Minus,0,False
GtToGt,DACT::Gt,BEHA::Gt,0,False
LtToLt,DACT::Lt,BEHA::Lt,0,False
GeToGe,DACT::Ge,BEHA::Ge,1,True
LeToLe,DACT::Le,BEHA::Le,0,False
EqToEq,DACT::Eq,BEHA::Eq,0,False
NeToNe,DACT::Ne,BEHA::Ne,0,False
AndToAnd,DACT::And,BEHA::And,0,False
OrToOr,DACT::Or,BEHA::Or,0,False
DomainActivityModelToServiceActivityModel,DACT::ActivityModel,BEHA::ActivityModel,1,True
DomainActivityToServiceActivity,DACT::Activity,BEHA::Activity,1,True
ParameterMappingToParameterMapping,DACT::ParameterMapping,BEHA::ParameterMapping,13,True
ActivityGroupToActivityGroup,DACT::ActivityGroup,BEHA::ActivityGroup,7,True
ScopeToScope,DACT::Scope,BEHA::Scope,7,True
VariableToVariable,DACT::Variable,BEHA::Variable,8,True
NodeToNode,DACT::ParallelNode,BEHA::ParallelNode,25,True
VariableAssignmentToVariableAssignment,DACT::VariableAssignment,BEHA::VariableAssignment,5,True
EdgeToEdge,DACT::ActivityEdge,BEHA::ActivityEdge,20,True
