Class,Abstract,SuperType,Is_TransformationOnly,Model Element (EClass),Count
Activity,False,NamedElement,False,Activity,12
ActivityEdge,False,DiagnosticSupported,False,ActivityEdge,153
ActivityFinalNode,False,FinalNode,False,ActivityFinalNode,32
ActivityGroup,False,NamedElement,False,ActivityGroup,51
ActivityModel,False,Model,False,ActivityModel,1
ActivityNode,True,NamedElement,False,,0
AggregateRoot,False,Entity,False,AggregateRoot,3
And,False,LogicalOperator,False,And,29
Behavior,True,None,False,,0
BinaryExpression,False,Expression,False,BinaryExpression,146
BooleanType,False,PrimitiveType,False,BooleanType,1
BoundedContext,False,NamedElement,False,BoundedContext,5
CallOperationAction,False,ExecutableNode,False,CallOperationAction,12
ConditionalNode,False,StructuredActivityNode,False,ConditionalNode,27
ControlNode,True,ActivityNode,False,,0
DataType,True,Type,False,,0
DddModel,False,Model,False,DddModel,1
DefinesIdentityObject,True,None,False,,0
DiagnosticSupported,True,None,False,,0
Divide,False,IntegerOperator,False,,0
DomainCreateAction,False,DomainNode,False,DomainCreateAction,3
DomainDeleteAction,False,DomainNode,False,DomainDeleteAction,1
DomainElement,True,NamedElement,False,,0
DomainEvent,False,NamedElement,False,DomainEvent,1
DomainExistAction,False,DomainFindAction,False,DomainExistAction,3
DomainFindAction,False,DomainNode,False,DomainFindAction,7
DomainNode,True,ExecutableNode,False,,0
DomainNodeOperationMapping,False,TransformationOnly,True,,0
DomainObject,True,Type,False,,0
DomainUpdateAction,False,DomainCreateAction,False,DomainUpdateAction,3
Entity,False,InternalDomainObject,False,Entity,4
Enumeration,False,DataType,False,Enumeration,4
EnumerationLiteral,False,NamedElement,False,EnumerationLiteral,87
Eq,False,LogicalOperator,False,Eq,57
ExecutableNode,True,ActivityNode,False,,0
Expression,True,NamedElement,False,,0
FinalNode,True,ControlNode,False,,0
FlowFinalNode,False,FinalNode,False,FlowFinalNode,20
Ge,False,LogicalOperator,False,,0
Gt,False,LogicalOperator,False,Gt,2
Identifier,False,NamedElement,False,Identifier,231
In,False,LogicalOperator,False,In,4
InitialNode,False,ControlNode,False,InitialNode,52
InstanceProperty,False,NamedElement,False,,0
InstanceValue,False,ValueSpecification,False,,0
IntegerOperator,True,Operator,False,,0
IntegerType,False,PrimitiveType,False,IntegerType,1
Interface,True,DomainElement,False,,0
InternalDomainObject,True,DomainObject,False,,0
Le,False,LogicalOperator,False,,0
Literal,True,ValueSpecification,False,,0
LiteralBoolean,False,Literal,False,LiteralBoolean,3
LiteralInteger,False,Literal,False,LiteralInteger,2
LiteralNull,False,Literal,False,LiteralNull,18
LiteralReal,False,Literal,False,,0
LiteralString,False,Literal,False,,0
LogicalOperator,True,Operator,False,,0
LoopNode,False,StructuredActivityNode,False,,0
Lt,False,LogicalOperator,False,,0
Minus,False,IntegerOperator,False,,0
Model,True,None,False,,0
NamedElement,True,None,False,,0
Ne,False,LogicalOperator,False,Ne,31
NotExpression,False,Expression,False,NotExpression,1
Operation,False,NamedElement,False,Operation,11
Operator,True,None,False,,0
Or,False,LogicalOperator,False,Or,16
ParallelNode,False,ControlNode,False,ParallelNode,1
Parameter,False,NamedElement,False,Parameter,75
ParameterMapping,False,DiagnosticSupported,False,ParameterMapping,38
Plus,False,IntegerOperator,False,Plus,1
PrimitiveType,True,DataType,False,,0
Property,False,NamedElement,False,Property,44
RaiseEntityNotFoundExceptionAction,False,RaiseExceptionAction,False,RaiseEntityNotFoundExceptionAction,3
RaiseExceptionAction,False,ExecutableNode,False,RaiseExceptionAction,9
RealType,False,PrimitiveType,False,RealType,1
ReceiveSignalAction,False,SignalAction,False,ReceiveSignalAction,1
Repository,False,Interface,False,,0
Root,False,DiagnosticSupported,False,Root,1
Scope,False,TransformationOnly,True,Scope,28
SendSignalAction,False,SignalAction,False,SendSignalAction,1
Service,False,Interface,False,Service,3
SharedDomainObject,True,DomainObject,False,,0
SharedValueObject,False,SharedDomainObject,False,SharedValueObject,2
SignalAction,True,ExecutableNode,False,,0
SpecOperation,False,Operation,False,SpecOperation,4
SpecRule,False,NamedElement,False,SpecRule,17
StringType,False,PrimitiveType,False,StringType,1
StructuredActivityNode,True,ControlNode,False,,0
Times,False,IntegerOperator,False,,0
TransformationOnly,True,None,True,,0
Type,True,NamedElement,False,,0
TypedMultiplicityElement,True,None,False,,0
UnaryExpression,False,Expression,False,UnaryExpression,232
ValueObject,False,InternalDomainObject,False,ValueObject,4
ValueSpecification,True,None,False,,0
Variable,False,NamedElement,False,,0
VariableAssignment,False,Expression,False,VariableAssignment,30
VariableAssignmentAction,False,ExecutableNode,False,VariableAssignmentAction,25
VariableDeclarationAction,False,ExecutableNode,False,VariableDeclarationAction,5
